year,origin_geoid,dest_geoid,flow,origin_name,dest_name
2018,01073,54065,617,Jefferson County,Morgan County
2018,01073,26045,845,Jefferson County,Eaton County
2018,38011,01073,197,Bowman County,Jefferson County
2018,22123,01073,846,West Carroll Parish,Jefferson County
2019,72153,01073,89,Yauco Municipio,Jefferson County
2019,01073,19037,893,Jefferson County,Chickasaw County
2019,08001,01073,585,Adams County,Jefferson County
2020,40021,01073,619,Cherokee County,Jefferson County
2020,01073,33009,335,Jefferson County,Grafton County
2018,01033,41033,777,Colbert County,Josephine County
2018,41071,01033,192,Yamhill County,Colbert County
2019,01033,17001,915,Colbert County,Adams County
2019,01033,06093,177,Colbert County,Siskiyou County
2019,15007,01033,480,Kauai County,Colbert County
2019,45079,01033,260,Richland County,Colbert County
2019,01033,46109,150,Colbert County,Roberts County
2020,01033,21053,546,Colbert County,Clinton County
2020,18053,01033,489,Grant County,Colbert County
2020,01033,19129,320,Colbert County,Mills County
2020,01033,36025,763,Colbert County,Delaware County
2018,01009,26037,668,Blount County,Clinton County
2018,01009,19081,918,Blount County,Hancock County
2018,23027,01009,878,Waldo County,Blount County
2019,28107,01009,704,Panola County,Blount County
2019,01009,04001,961,Blount County,Apache County
2019,33011,01009,621,Hillsborough County,Blount County
2019,11001,01009,594,District of Columbia,Blount County
2020,41071,01009,91,Yamhill County,Blount County
2020,01009,10003,943,Blount County,New Castle County
2020,01009,51083,955,Blount County,Halifax County
2020,17085,01009,145,Jo Daviess County,Blount County
2018,21053,01019,629,Clinton County,Cherokee County
2018,30011,01019,262,Carter County,Cherokee County
2018,01019,20131,61,Cherokee County,Nemaha County
2018,01019,18045,99,Cherokee County,Fountain County
2018,17085,01019,269,Jo Daviess County,Cherokee County
2019,01019,35031,239,Cherokee County,McKinley County
2019,01019,16081,543,Cherokee County,Teton County
2019,01019,33015,260,Cherokee County,Rockingham County
2019,01019,48411,528,Cherokee County,San Saba County
2019,41027,01019,658,Hood River County,Cherokee County
2020,19125,01019,124,Marion County,Cherokee County
2020,10001,01019,646,Kent County,Cherokee County
2020,13299,01019,656,Ware County,Cherokee County
2020,01019,47021,908,Cherokee County,Cheatham County
2018,01091,04015,822,Marengo County,Mohave County
2018,01091,06069,380,Marengo County,San Benito County
2018,01091,25023,989,Marengo County,Plymouth County
2019,32011,01091,212,Eureka County,Marengo County
2019,19081,01091,666,Hancock County,Marengo County
2019,22001,01091,796,Acadia Parish,Marengo County
2020,51790,01091,935,Staunton city,Marengo County
2020,50017,01091,452,Orange County,Marengo County
2020,25017,01091,146,Middlesex County,Marengo County
2020,51115,01091,517,Mathews County,Marengo County
2018,25009,01081,475,Essex County,Lee County
2018,25025,01081,248,Suffolk County,Lee County
2019,51025,01081,912,Brunswick County,Lee County
2019,22033,01081,495,East Baton Rouge Parish,Lee County
2019,01081,41053,955,Lee County,Polk County
2019,50019,01081,621,Orleans County,Lee County
2019,01081,23029,724,Lee County,Washington County
2020,01081,34023,283,Lee County,Middlesex County
2020,01081,12027,920,Lee County,DeSoto County
2020,01081,33009,378,Lee County,Grafton County
2018,31081,01123,878,Hamilton County,Tallapoosa County
2018,17061,01123,670,Greene County,Tallapoosa County
2019,01123,13113,918,Tallapoosa County,Fayette County
2019,72009,01123,742,Aibonito Municipio,Tallapoosa County
2019,01123,29095,907,Tallapoosa County,Jackson County
2019,53049,01123,637,Pacific County,Tallapoosa County
2019,48335,01123,849,Mitchell County,Tallapoosa County
2020,01123,08031,933,Tallapoosa County,Denver County
